n,expr,mean_time,sd_time
1000,Ranger,0.19397050466666665,0.004345972166753293
1000,Earth,0.03491709266666666,0.013225032363249525
1000,XGBoost,0.35669027433333333,0.0027658165242944654
1000,LightGBM,0.199495038,0.026851697791378568
5000,Ranger,1.7026877786666668,0.03563395312298287
5000,Earth,0.06748584566666667,0.0057550133112522295
5000,XGBoost,1.618539993,0.012792577519166775
5000,LightGBM,0.22903635133333333,0.010774505983048235
10000,Ranger,4.175748552,0.004891970234528996
10000,Earth,0.172656973,0.004254626183125738
10000,XGBoost,3.2353202976666666,0.03112054094979565
10000,LightGBM,0.265957391,0.02068995141888109
25000,Ranger,14.129238732666666,0.14288127445362084
25000,Earth,0.360592863,0.006694644536225126
25000,XGBoost,7.929091085,0.02134097837483266
25000,LightGBM,0.390594289,0.053839245973697
50000,Ranger,35.811351239,0.17711470524710674
50000,Earth,0.816429648,0.05950820907072217
50000,XGBoost,15.823947645666667,0.045113911940489984
50000,LightGBM,0.592246506,0.10886987883517209
100000,Ranger,90.10949133033333,1.237283137922994
100000,Earth,2.079346909,0.06346256259244897
100000,XGBoost,32.929812547666664,0.0015593876443554912
100000,LightGBM,1.0153443226666667,0.22652447805122777
